operation-id	line	location	from-bytes	from-sha256	from-base64	to-bytes	to-sha256	to-base64
C-11	31	Governs	246	d702692f00aa126f3ba5d9e057fd52b31b4c70edcff3a7943afe61616a0f5038	KipHb3Zlcm5zOioqIElmIGFuZCBvbmx5IGlmIFcwLTE3IGxhdGVyIGFkb3B0cyB0aGUgZXhhY3QgdmVyc2lvbiBhbmQgZGlnZXN0LCB0aGUgQ1NBQSBwcm9ncmFtIGJvdW5kYXJ5LCBzb3VyY2Utb2YtdHJ1dGggbW9kZWwsIHNlbWFudGljIGJhc2VsaW5lcywgbWFuaWZlc3QsIGRvY3VtZW50IHJlc3BvbnNpYmlsaXRpZXMsIHN0YWdlZCBjb21taXNzaW9ucywgYW5kIGNsb3N1cmUgcnVsZXMgd2l0aGluIHRoZSBncmFudGVkIHNjb3Bl	214	0b5bd97251d74c2d42e68088e3896cea67c4df3272cd406bf2b49a5b1d78dd3f	KipHb3Zlcm5zOioqIFVuZGVyIGBKUFdCLVJFRy0wMDUgUkVHLUQtMDE4YCwgdGhlIENTQUEgcHJvZ3JhbSBib3VuZGFyeSwgc291cmNlLW9mLXRydXRoIG1vZGVsLCBzZW1hbnRpYyBiYXNlbGluZXMsIG1hbmlmZXN0LCBkb2N1bWVudCByZXNwb25zaWJpbGl0aWVzLCBzdGFnZWQgY29tbWlzc2lvbnMsIGFuZCBjbG9zdXJlIHJ1bGVzIHdpdGhpbiB0aGUgZ3JhbnRlZCBzY29wZQ==
C-12	110	Section 2 gate lead	116	c339fa7bdad1cd0f572e4185170c75b838b3b134d6456423fb34bdd7083b30d3	VGhlIHJlbWFpbmluZyByZWNvcmRhYmxlIHNwb25zb3IgZGVjaXNpb24gaXMgVzAtMTcuIFByZXNlbnRhdGlvbiByZWFkaW5lc3MgYW5kIHNwb25zb3IgY29uZmVycmFsIGFyZSBzZXBhcmF0ZSBnYXRlcy4=	152	a3e15eba7fa43b0d0f6bed938ca69f431a730fe190d1484276c41aeb813ddbba	YEpQV0ItUkVHLTAwNSBSRUctRC0wMThgIHJlY29yZHMgdGhlIFcwLTE3IHNwb25zb3IgY29uZmVycmFsIGZvciB0aGlzIGV4YWN0IHZlcnNpb247IHByZXNlbnRhdGlvbiBhbG9uZSBjb25mZXJyZWQgbm8gYXV0aG9yaXR5IGJlZm9yZSB0aGF0IHJlY29yZGVkIGFjdC4=
C-13	135	Section 3.1 member state	124	8daf0efaa2de6d4f7422ea183912b76b0f55cc5e665abf5b8f3d712550322b86	LSBgSkFOLUNTQUEtMDAwQDAuMy4wYCByZXRhaW5zIG9ubHkgaXRzIHJlY29yZGVkIHByZS1hZG9wdGlvbiBsaWZlY3ljbGUgc3RhdHVzIGFuZCByZW1haW5zIGFuIHVuYWRvcHRlZCBzdWNjZXNzb3IgY2FuZGlkYXRlOw==	107	25452aa6794a3e4568f90eab999da734cba0391aa0fa35db59e9fa9a053b56b8	LSBgSkFOLUNTQUEtMDAwQDAuMy4wYCBob2xkcyBOb3JtYXRpdmUgSFlQT1RIRVNJUy1ncmFkZSBwcm9ncmFtIHdvcmtpbmctcmVmZXJlbmNlIHN0YXR1cyB1bmRlciBgUkVHLUQtMDE4YDs=
C-14	138	Section 3.1 Wave 1	58	109a16d42d962ee12c3754e1ada12d8ab75d125b1d35e216d1dcd1def50082ce	LSBXMC0wOCBpcyBhcHByb3ZlZCBpbiBwcmluY2lwbGUgYnV0IGluYWN0aXZlIHVudGlsIFcwLTE3Ow==	132	5038e54b0a1b78d4affde3b672ab395f9171eb0c4b568d6749e9f1ee74a08384	LSB0aGUgVzAtMDggZG9jdW1lbnRhdGlvbi1vbmx5IFdhdmUgMSBjb21taXNzaW9uIGZvciBgSkFOLUNTQUEtMDAxYCwgYEpBTi1DU0FBLTAwMmAsIGFuZCBgSkFOLUNTQUEtMDA1YCBpcyBhY3RpdmUgdW5kZXIgYFJFRy1ELTAxOGA7
C-15	492	Section 8 heading	33	97d96987118ce960f122bd8298eabda6f51c456e88af1f7d83aad58d1b958dd4	IyMgOC4gUHJvcG9zZWQgY29ycHVzIHByb2dyZXNzaW9u	24	bd71f7b6d7d7b89396e8382003d45e999e06d6eb87e9ccddcdcd12a427d51444	IyMgOC4gQ29ycHVzIHByb2dyZXNzaW9u
C-16	562	Manifest JAN-CSAA-000	252	823d070ff0562585969278ee1d61968166341b97a83ab1b1ccb654e9f8967684	fCBgSkFOLUNTQUEtMDAwYCB8IGBSRUFETUUubWRgIHwgYDAuMy4wYCAvIFByb3Bvc2VkIC8gYXV0aG9yZWQgfCBTdGFnZSBBIGNhcnJpYWdlIGFuZCByZWZyZXNoIHByZXBhcmF0aW9uIGF1dGhvcml6ZWQ7IHN1Y2Nlc3NvciBhZG9wdGlvbiBwZW5kaW5nIHwgTm9uZSBhcyBhIG1lbWJlcjsgVzAtMTcgYWRvcHRpb24gcGVuZGluZyB8IE1hbmlmZXN0LCBwcmVjZWRlbmNlLCB2b2NhYnVsYXJ5LCBzY29wZSwgY2xvc3VyZSwgY29tbWlzc2lvbiB8	239	a726f999b4fc3df88073a5a819db3dbaa37dd70e803a3411035bc3e6a530e4e9	fCBgSkFOLUNTQUEtMDAwYCB8IGBSRUFETUUubWRgIHwgYDAuMy4wYCAvIE5vcm1hdGl2ZSAvIGF1dGhvcmVkIHwgU3RhZ2UgQiBjb21wbGV0ZTsgZG9jdW1lbnRhdGlvbi1vbmx5IFdhdmUgMSBjb21taXNzaW9uIGFjdGl2ZSB8IGBKUFdCLVJFRy0wMDUgUkVHLUQtMDE4YCB3aXRoaW4gc3RhdGVkIHNjb3BlIHwgTWFuaWZlc3QsIHByZWNlZGVuY2UsIHZvY2FidWxhcnksIHNjb3BlLCBjbG9zdXJlLCBjb21taXNzaW9uIHw=
C-17	563	Manifest JAN-CSAA-001	302	100cf44a58ed5cb665680594981afc6f5c124e544f9addf21465eb388be622f0	fCBgSkFOLUNTQUEtMDAxYCB8IGBKQU4tQ1NBQS0wMDEgLSBDb2RlYmFzZSBTZW1hbnRpYyBBbmFseXNpcyBhbmQgQXNzdXJhbmNlIEFyY2hpdGVjdHVyZS5tZGAgfCBVbmF1ZGl0ZWQgYW5kIHVuYXV0aG9yZWQ7IHRhcmdldCBzdGFydHMgYXQgYDAuMS4wYCAvIERyYWZ0IHwgV2F2ZSAxIGFwcHJvdmVkIGluIHByaW5jaXBsZSBieSBXMC0wODsgaW5hY3RpdmUgdW50aWwgVzAtMTcgfCBOb25lIHwgQ29udGV4dCwgcmVzcG9uc2liaWxpdGllcywgdHJ1c3QgYm91bmRhcmllcywgZmxvd3MsIGZhaWx1cmUgYW5kIGRlZ3JhZGF0aW9uIHw=	348	794bdb61cdbe65603ea6e947f4ddce30789df0b617c141550bb71ad8e7e0854f	fCBgSkFOLUNTQUEtMDAxYCB8IGBKQU4tQ1NBQS0wMDEgLSBDb2RlYmFzZSBTZW1hbnRpYyBBbmFseXNpcyBhbmQgQXNzdXJhbmNlIEFyY2hpdGVjdHVyZS5tZGAgfCBVbmF1ZGl0ZWQgYW5kIHVuYXV0aG9yZWQ7IHRhcmdldCBzdGFydHMgYXQgYDAuMS4wYCAvIERyYWZ0IHwgRG9jdW1lbnRhdGlvbi1vbmx5IFdhdmUgMSBEcmFmdC1hdXRob3JpbmcgY29tbWlzc2lvbiBhY3RpdmUgdW5kZXIgYFJFRy1ELTAxOGAgfCBOb25lOyBjb21taXNzaW9uIGlzIG5vdCBhZG9wdGlvbiB8IENvbnRleHQsIHJlc3BvbnNpYmlsaXRpZXMsIHRydXN0IGJvdW5kYXJpZXMsIGZsb3dzLCBmYWlsdXJlIGFuZCBkZWdyYWRhdGlvbiB8
C-18	564	Manifest JAN-CSAA-002	297	7f96ca86e33b7917433c18b4a6a1ec0e8987585f27aaf3ff9ea4f68127010e8f	fCBgSkFOLUNTQUEtMDAyYCB8IGBKQU4tQ1NBQS0wMDIgLSBUeXBlU2NyaXB0IFNlbWFudGljIE1vZGVsIGFuZCBJbnZhcmlhbnQgQ2F0YWxvZy5tZGAgfCBVbmF1ZGl0ZWQgYW5kIHVuYXV0aG9yZWQ7IHRhcmdldCBzdGFydHMgYXQgYDAuMS4wYCAvIERyYWZ0IHwgV2F2ZSAxIGFwcHJvdmVkIGluIHByaW5jaXBsZSBieSBXMC0wODsgaW5hY3RpdmUgdW50aWwgVzAtMTcgfCBOb25lIHwgSWRlbnRpdHksIHJldmlzaW9ucywgQVNULCBzeW1ib2xzLCB0eXBlcywgZ3JhcGhzLCBjb3ZlcmFnZSwgdHJhY2VzLCBldmlkZW5jZSB8	343	4c0d9a4da7b6aa8e79455d68ce9412a73e6cfe182618bbf3bd3e2da14f10011b	fCBgSkFOLUNTQUEtMDAyYCB8IGBKQU4tQ1NBQS0wMDIgLSBUeXBlU2NyaXB0IFNlbWFudGljIE1vZGVsIGFuZCBJbnZhcmlhbnQgQ2F0YWxvZy5tZGAgfCBVbmF1ZGl0ZWQgYW5kIHVuYXV0aG9yZWQ7IHRhcmdldCBzdGFydHMgYXQgYDAuMS4wYCAvIERyYWZ0IHwgRG9jdW1lbnRhdGlvbi1vbmx5IFdhdmUgMSBEcmFmdC1hdXRob3JpbmcgY29tbWlzc2lvbiBhY3RpdmUgdW5kZXIgYFJFRy1ELTAxOGAgfCBOb25lOyBjb21taXNzaW9uIGlzIG5vdCBhZG9wdGlvbiB8IElkZW50aXR5LCByZXZpc2lvbnMsIEFTVCwgc3ltYm9scywgdHlwZXMsIGdyYXBocywgY292ZXJhZ2UsIHRyYWNlcywgZXZpZGVuY2UgfA==
C-19	567	Manifest JAN-CSAA-005	318	068535c940d4d053973801fe79a39a0e4585a2638d6c87bc44d08ebb3bec8954	fCBgSkFOLUNTQUEtMDA1YCB8IGBKQU4tQ1NBQS0wMDUgLSBKUFdCIFR5cGVTY3JpcHQgUmVwb3NpdG9yeSBTZW1hbnRpYyBJbnZlbnRvcnkgYW5kIENvbmZvcm1hbmNlIE1hcHBpbmcubWRgIHwgVW5hdWRpdGVkIGFuZCB1bmF1dGhvcmVkOyB0YXJnZXQgc3RhcnRzIGF0IGAwLjEuMGAgLyBEcmFmdCB8IFdhdmUgMSBhcHByb3ZlZCBpbiBwcmluY2lwbGUgYnkgVzAtMDg7IGluYWN0aXZlIHVudGlsIFcwLTE3IHwgTm9uZSB8IFBhY2thZ2VzLCBjb25maWdzLCBhcmNoaXRlY3R1cmUgY29uc3RyYWludHMsIHRvb2xzLCB0ZXN0cywgdHJhY2VzLCB1bmtub3ducyB8	364	758d233c9d82ac2761d6bd47fb4f41ee271730463cf1c999823f56aa07a3dc07	fCBgSkFOLUNTQUEtMDA1YCB8IGBKQU4tQ1NBQS0wMDUgLSBKUFdCIFR5cGVTY3JpcHQgUmVwb3NpdG9yeSBTZW1hbnRpYyBJbnZlbnRvcnkgYW5kIENvbmZvcm1hbmNlIE1hcHBpbmcubWRgIHwgVW5hdWRpdGVkIGFuZCB1bmF1dGhvcmVkOyB0YXJnZXQgc3RhcnRzIGF0IGAwLjEuMGAgLyBEcmFmdCB8IERvY3VtZW50YXRpb24tb25seSBXYXZlIDEgRHJhZnQtYXV0aG9yaW5nIGNvbW1pc3Npb24gYWN0aXZlIHVuZGVyIGBSRUctRC0wMThgIHwgTm9uZTsgY29tbWlzc2lvbiBpcyBub3QgYWRvcHRpb24gfCBQYWNrYWdlcywgY29uZmlncywgYXJjaGl0ZWN0dXJlIGNvbnN0cmFpbnRzLCB0b29scywgdGVzdHMsIHRyYWNlcywgdW5rbm93bnMgfA==
C-20	646	Section 10 commission state	137	b5b88cac081051ce88c354e7df139ef9e8d003871cd6e97d8336652fdcdba739	LSBXMC0wOCBhcHByb3ZlcyBgSkFOLUNTQUEtMDAxYCwgYEpBTi1DU0FBLTAwMmAsIGFuZCBgSkFOLUNTQUEtMDA1YCBpbiBwcmluY2lwbGUgZm9yIFdhdmUgMSwgYnV0IHRoYXQgY29tbWlzc2lvbiBpcyBpbmFjdGl2ZSB1bnRpbCBXMC0xNy4=	177	cbf5d9d025965d7e346af55cf8c8fe0bdd781225d5212b2d005fb0b76ee8aa86	LSBgSlBXQi1SRUctMDA1IFJFRy1ELTAxOGAgYWN0aXZhdGVzIFcwLTA4J3MgZG9jdW1lbnRhdGlvbi1vbmx5IFdhdmUgMSBjb21taXNzaW9uIGZvciBgSkFOLUNTQUEtMDAxYCwgYEpBTi1DU0FBLTAwMmAsIGFuZCBgSkFOLUNTQUEtMDA1YDsgaXQgY29uZmVycyBubyBtZW1iZXIgYXV0aG9yaXR5IG9uIHRoZW0u
C-21	1296	Section 15 Stage B heading	40	7b96fef2779b7d6494cef5fda9f9bad9ce8b16c1947c4cb645855afbce449b89	KipTdGFnZSBCIOKAlCBwZW5kaW5nIHJlZnJlc2hlZCBXMC0xNzoqKg==	54	7aeecc946fe2b708c5c06495ae067ba918d1a08600cd65cb0e95232582f239b9	KipTdGFnZSBCIOKAlCBzYXRpc2ZpZWQgYnkgYEpQV0ItUkVHLTAwNSBSRUctRC0wMThgOioq
C-22	1307	Section 15 Stage B state	298	41ba1e98fa7c801db43ba5fbc1a6140464f38d0bbbc674f01ff8c9137286a1bf	U3RhZ2UgQSBpcyBlZmZlY3RpdmUuIFRoZSBgMC4yLjFgIHBhY2thZ2Ugd2FzIHByZXNlbnRlZCwgYnV0IGl0cyByZXNwb25zZSBjb3VsZCBub3QgYmUgcmVjb3JkZWQgYWZ0ZXIgYSBjb25jbHVzaW9uLWFmZmVjdGluZyBmcmVzaG5lc3MgY2hlY2s7IHRoaXMgYDAuMy4wYCBzdWNjZXNzb3IgcmVxdWlyZXMgaXRzIG93biBleGFjdC1ieXRlIHByZXNlbnRhdGlvbiBhbmQgcmVjb3JkZWQgc3BvbnNvciBjb25mZXJyYWwuIFN0YWdlIEIgcmVtYWlucyBpbmNvbXBsZXRlIHVudGlsIHRoYXQgY29uZmVycmFsIGlzIHJlY29yZGVkLg==	182	b390dd8e63139b52d00f1adc20ce98608ccaa2b58ed93208be038cb7a0dbcad0	U3RhZ2UgQSBpcyBlZmZlY3RpdmUuIGBSRUctRC0wMThgIHJlY29yZHMgdGhlIGV4YWN0IFcwLTE3IGFkb3B0aW9uIGFuZCBjb21wbGV0ZXMgU3RhZ2UgQiBmb3IgYEpBTi1DU0FBLTAwMEAwLjMuMGA7IHRoZSBibG9ja2VkIGAwLjIuMWAgcmVzcG9uc2UgcmVtYWlucyBoaXN0b3JpY2FsIGFuZCBub24tY29uZmVycmluZy4=
C-23	1311	Section 15 Wave 1 lead	98	a6e812703fa3e34a42c59f49e09a05f676ec39f77c760a35e0d47db8318c6ba7	KipJbmFjdGl2ZSB1bnRpbCBXMC0xNy4qKiBPbmNlIGFjdGl2YXRlZCwgdGhlIFdhdmUgMSBhdXRob3IgU0hBTEwgYXV0aG9yIGFuZCBhZHZlcnNhcmlhbGx5IHJldmlldzo=	99	9f602aecd4e1b6d68744d10faf9d48f19a7cf04b706bd92fd5669b50e2b66237	KipBY3RpdmUgdW5kZXIgYEpQV0ItUkVHLTAwNSBSRUctRC0wMThgLioqIFRoZSBXYXZlIDEgYXV0aG9yIFNIQUxMIGF1dGhvciBhbmQgYWR2ZXJzYXJpYWxseSByZXZpZXc6
C-24	1388	Section 16.1 provider disclaimer	261	8f7121d0f2d49f8d4c72e851cfee0e5ab53b41bc5121bc2c32caef6e89887497	VGhpcyBwcmUtYWRvcHRpb24gY2FuZGlkYXRlIGFuZCBgUkVHLUQtMDE3YCBTSEFMTCBOT1QgYmUgaW50ZXJwcmV0ZWQgdG8gYXBwcm92ZSBUeXBlU2NyaXB0IENvbXBpbGVyIEFQSSwgZGVwZW5kZW5jeS1jcnVpc2VyLCBDb2RlUUwsIEpvZXJuLCBTZW1ncmVwLCBUcmVlLXNpdHRlciwgU29uYXIsIGEgZ3JhcGggZGF0YWJhc2UsIG9yIGFueSBvdGhlciBjb25jcmV0ZSBwcm92aWRlci9kZXBlbmRlbmN5IGFzIGEgQ1NBQSBpbXBsZW1lbnRhdGlvbiBjaG9pY2Uu	270	1e4461129946b0c83ffbba5a0e7dcae67d23fc48a50412cebac828cf27b2b6cf	VGhpcyBOb3JtYXRpdmUgY2hhcnRlciwgYFJFRy1ELTAxN2AsIGFuZCBgUkVHLUQtMDE4YCBTSEFMTCBOT1QgYmUgaW50ZXJwcmV0ZWQgdG8gYXBwcm92ZSBUeXBlU2NyaXB0IENvbXBpbGVyIEFQSSwgZGVwZW5kZW5jeS1jcnVpc2VyLCBDb2RlUUwsIEpvZXJuLCBTZW1ncmVwLCBUcmVlLXNpdHRlciwgU29uYXIsIGEgZ3JhcGggZGF0YWJhc2UsIG9yIGFueSBvdGhlciBjb25jcmV0ZSBwcm92aWRlci9kZXBlbmRlbmN5IGFzIGEgQ1NBQSBpbXBsZW1lbnRhdGlvbiBjaG9pY2Uu
